Msg Size (b),C (baseline),RS (normalized),Py (normalized),"C (raw, us)","RS (raw, us)","Py (raw, us)"
1,1.0000000000,0.1962616822,1.6425233645,4.2800000000,0.8400000000,7.0300000000
2,1.0000000000,0.1846522782,1.5347721823,4.1700000000,0.7700000000,6.4000000000
4,1.0000000000,0.1745283019,1.5023584906,4.2400000000,0.7400000000,6.3700000000
8,1.0000000000,0.1522633745,1.2962962963,4.8600000000,0.7400000000,6.3000000000
16,1.0000000000,0.1569037657,1.3138075314,4.7800000000,0.7500000000,6.2800000000
32,1.0000000000,0.2808080808,1.3676767677,4.9500000000,1.3900000000,6.7700000000
64,1.0000000000,0.1740000000,1.2360000000,5.0000000000,0.8700000000,6.1800000000
128,1.0000000000,0.1359724613,1.0654044750,5.8100000000,0.7900000000,6.1900000000
256,1.0000000000,0.1297468354,0.9699367089,6.3200000000,0.8200000000,6.1300000000
512,1.0000000000,0.1177248677,0.8359788360,7.5600000000,0.8900000000,6.3200000000
1024,1.0000000000,0.1421267894,0.7034764826,9.7800000000,1.3900000000,6.8800000000
2048,1.0000000000,0.0101788022,0.0399073675,185.6800000000,1.8900000000,7.4100000000
4096,1.0000000000,0.0416024653,0.1030645437,175.2300000000,7.2900000000,18.0600000000
8192,1.0000000000,0.0473390325,0.1011513564,202.3700000000,9.5800000000,20.4700000000
16384,1.0000000000,0.0304180869,0.0545368253,463.5400000000,14.1000000000,25.2800000000
32768,1.0000000000,0.0321262010,0.0475080070,711.8800000000,22.8700000000,33.8200000000
65536,1.0000000000,0.0466447677,0.0613209761,852.4000000000,39.7600000000,52.2700000000
131072,1.0000000000,0.0373301274,0.1101794220,1971.3300000000,73.5900000000,217.2000000000
262144,1.0000000000,0.0851119452,0.0883019314,3213.1800000000,273.4800000000,283.7300000000
524288,1.0000000000,0.1069570973,0.1108125659,6375.3600000000,681.8900000000,706.4700000000
1048576,1.0000000000,0.0938305766,0.1155084411,12511.3800000000,1173.9500000000,1445.1700000000
