Msg Size (b),C (baseline),RS (normalized),Py (normalized),"C (raw, us)","RS (raw, us)","Py (raw, us)"
1,1.0000000000,0.5280898876,13.1685393258,0.8900000000,0.4700000000,11.7200000000
2,1.0000000000,0.6718750000,16.9062500000,0.6400000000,0.4300000000,10.8200000000
4,1.0000000000,0.5694444444,14.9027777778,0.7200000000,0.4100000000,10.7300000000
8,1.0000000000,0.5753424658,14.6712328767,0.7300000000,0.4200000000,10.7100000000
16,1.0000000000,0.6000000000,15.1714285714,0.7000000000,0.4200000000,10.6200000000
32,1.0000000000,0.7500000000,15.5735294118,0.6800000000,0.5100000000,10.5900000000
64,1.0000000000,0.7183098592,14.7323943662,0.7100000000,0.5100000000,10.4600000000
128,1.0000000000,0.5632183908,12.0114942529,0.8700000000,0.4900000000,10.4500000000
256,1.0000000000,0.4607843137,10.2058823529,1.0200000000,0.4700000000,10.4100000000
512,1.0000000000,0.3937007874,8.3307086614,1.2700000000,0.5000000000,10.5800000000
1024,1.0000000000,0.3442622951,5.7759562842,1.8300000000,0.6300000000,10.5700000000
2048,1.0000000000,0.2524271845,3.4142394822,3.0900000000,0.7800000000,10.5500000000
4096,1.0000000000,0.1959706960,1.9798534799,5.4600000000,1.0700000000,10.8100000000
8192,1.0000000000,0.1504339441,1.0945033751,10.3700000000,1.5600000000,11.3500000000
16384,1.0000000000,0.0123009134,0.0579244504,217.8700000000,2.6800000000,12.6200000000
32768,1.0000000000,0.0203834021,0.0600177950,247.2600000000,5.0400000000,14.8400000000
65536,1.0000000000,0.0356968031,0.0730880747,265.5700000000,9.4800000000,19.4100000000
131072,1.0000000000,0.0286578521,0.0442029437,641.3600000000,18.3800000000,28.3500000000
262144,1.0000000000,0.1726718203,0.0521834264,968.8900000000,167.3000000000,50.5600000000
524288,1.0000000000,0.1423170178,0.0623620556,1563.1300000000,222.4600000000,97.4800000000
1048576,1.0000000000,0.0659750682,0.1289455978,4087.1500000000,269.6500000000,527.0200000000
