Msg Size (b),C (baseline),RS (normalized),Py (normalized),"C (raw, us)","RS (raw, us)","Py (raw, us)"
1,1.0000000000,0.8848758465,3.4672686230,4.4300000000,3.9200000000,15.3600000000
2,1.0000000000,0.9095127610,3.3874709977,4.3100000000,3.9200000000,14.6000000000
4,1.0000000000,0.9127358491,3.4174528302,4.2400000000,3.8700000000,14.4900000000
8,1.0000000000,0.7684426230,2.9528688525,4.8800000000,3.7500000000,14.4100000000
16,1.0000000000,0.7698574338,2.9307535642,4.9100000000,3.7800000000,14.3900000000
32,1.0000000000,0.7549800797,2.8007968127,5.0200000000,3.7900000000,14.0600000000
64,1.0000000000,0.8964143426,2.9442231076,5.0200000000,4.5000000000,14.7800000000
128,1.0000000000,0.7512605042,2.4991596639,5.9500000000,4.4700000000,14.8700000000
256,1.0000000000,0.6623376623,2.1890331890,6.9300000000,4.5900000000,15.1700000000
512,1.0000000000,0.5470383275,1.7491289199,8.6100000000,4.7100000000,15.0600000000
1024,1.0000000000,0.4735930736,1.3575757576,11.5500000000,5.4700000000,15.6800000000
2048,1.0000000000,0.0404525630,0.1039757285,158.2100000000,6.4000000000,16.4500000000
4096,1.0000000000,0.0381574587,0.0852625101,211.2300000000,8.0600000000,18.0100000000
8192,1.0000000000,0.0434104185,0.0843402417,249.9400000000,10.8500000000,21.0800000000
16384,1.0000000000,0.0334169753,0.0540088422,502.1400000000,16.7800000000,27.1200000000
32768,1.0000000000,0.0442276475,0.0605245568,628.3400000000,27.7900000000,38.0300000000
65536,1.0000000000,0.0374086652,0.1425410547,1360.3800000000,50.8900000000,193.9100000000
131072,1.0000000000,0.1091126698,0.1150015020,2097.1900000000,228.8300000000,241.1800000000
262144,1.0000000000,0.1092199177,0.1047708882,4526.8300000000,494.4200000000,474.2800000000
524288,1.0000000000,0.0922437917,0.1097379297,9216.2300000000,850.1400000000,1011.3700000000
1048576,1.0000000000,0.1040511019,0.0968583918,18236.5200000000,1897.5300000000,1766.3600000000
